0 verbose cli /opt/homebrew/Cellar/node/25.6.0/bin/node /opt/homebrew/bin/npm
1 info using npm@11.8.0
2 info using node@v25.6.0
3 silly config load:file:/opt/homebrew/lib/node_modules/npm/npmrc
4 silly config load:file:/Users/pfo/Documents/code/dev/MeetManager-ToolsV3/mobile-judge-app/.npmrc
5 silly config load:file:/Users/pfo/.npmrc
6 silly config load:file:/opt/homebrew/etc/npmrc
7 verbose title npm install
8 verbose argv "install" "--legacy-peer-deps" "--no-audit" "--no-fund" "--cache" ".npm-cache-local"
9 verbose logfile logs-max:10 dir:/Users/pfo/Documents/code/dev/MeetManager-ToolsV3/mobile-judge-app/.npm-cache-local/_logs/2026-02-16T06_05_58_097Z-
10 verbose logfile /Users/pfo/Documents/code/dev/MeetManager-ToolsV3/mobile-judge-app/.npm-cache-local/_logs/2026-02-16T06_05_58_097Z-debug-0.log
11 silly logfile done cleaning log files
12 silly packumentCache heap:2348810240 maxSize:587202560 maxEntrySize:293601280
13 silly idealTree buildDeps
14 silly reify moves {}
15 http fetch GET 200 https://registry.npmjs.org/npm 347ms
16 silly packumentCache corgi:https://registry.npmjs.org/yargs-parser cache-miss
17 silly packumentCache corgi:https://registry.npmjs.org/yocto-queue cache-miss
18 silly packumentCache corgi:https://registry.npmjs.org/xmlchars cache-miss
19 silly packumentCache corgi:https://registry.npmjs.org/xml2js cache-miss
20 silly packumentCache corgi:https://registry.npmjs.org/xmlbuilder cache-miss
21 silly packumentCache corgi:https://registry.npmjs.org/yallist cache-miss
22 silly packumentCache corgi:https://registry.npmjs.org/y18n cache-miss
23 silly packumentCache corgi:https://registry.npmjs.org/xcode cache-miss
24 silly packumentCache corgi:https://registry.npmjs.org/xml-name-validator cache-miss
25 silly packumentCache corgi:https://registry.npmjs.org/wrappy cache-miss
26 silly packumentCache corgi:https://registry.npmjs.org/write-file-atomic cache-miss
27 silly packumentCache corgi:https://registry.npmjs.org/wrap-ansi cache-miss
28 silly packumentCache corgi:https://registry.npmjs.org/wrap-ansi cache-miss
29 silly packumentCache corgi:https://registry.npmjs.org/ws cache-miss
30 silly packumentCache corgi:https://registry.npmjs.org/wordwrap cache-miss
31 silly packumentCache corgi:https://registry.npmjs.org/wonka cache-miss
32 silly packumentCache corgi:https://registry.npmjs.org/whatwg-url cache-miss
33 silly packumentCache corgi:https://registry.npmjs.org/whatwg-url-without-unicode cache-miss
34 silly packumentCache corgi:https://registry.npmjs.org/which cache-miss
